product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price,price_normalized
5201262120023,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΣΤΡ. ΒΙΟ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,3.99,8.87
5201262120023,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΣΤΡ. ΒΙΟ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,2.98,6.62
5201262120030,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΣΠΑΝΑΚΙ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,1.71,3.8
5201262120030,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΣΠΑΝΑΚΙ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,3.6,8.0
5201262120030,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΣΠΑΝΑΚΙ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,3.4,7.56
5201262120030,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΣΠΑΝΑΚΙ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,2.5,5.56
5201262120054,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤ. ΒΙΟ20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.45,9.89
5201262120054,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤ. ΒΙΟ20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,4.26,9.47
5201262120054,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤ. ΒΙΟ20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,2.98,6.62
5201262120061,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΒΙΟΛ ΜΠΡΟΚΟΛΟ 500G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.2,8.4
5201262120061,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΒΙΟΛ ΜΠΡΟΚΟΛΟ 500G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,3.93,7.86
5201262120078,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΒΙΟ ΚΑΛ. ΑΝΑΜ. ΛΑΧ 450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,3.95,8.78
