CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΠΕΡΙΓΡΑΦΗ   ΕΙΔΗ 10/12/24,null
47,5201410964103,SEPTONA ΜΩΡ/ΛΑ ΧΑΜΟΜΗΛΙ 80T(2+1),2.62,0.01,7608635.jpg,0,Μωρομάντηλα,τμχ,,ab,11-12-2024,17-12-2024,,
48,5201410220056,SEPTONA ΣΑΜΠ&ΑΦΡ/ΤΡΟ ΑΛΟΗ 500ML,2.67,5.34,7149350.jpg,0,Σαμπουάν για Μωρά,lt,,ab,11-12-2024,17-12-2024,,
49,5202336037155,FAM FR ΣΚΥΛΟ ΑΡΝ ΚΟΤ 400ΓΡ,0.64,1.60,default_kalathi.png,1,Τροφή για Σκύλους,kg,,ab,11-12-2024,17-12-2024,,
49,5202336037179,FAMILY FRIENDS ΣΚΥΛ.ΚΟΤ/ΛΟ 400GR,0.64,1.60,7067557.jpg,1,Τροφή για Σκύλους,kg,,ab,11-12-2024,17-12-2024,,
50,5400601000808,365 ΓΑΤ.ALU ΒΟΔΙΝΟ 100GR,0.37,3.70,7063119.jpg,1,Τροφή για γάτες,kg,,ab,11-12-2024,17-12-2024,,
50,5400601000815,365 ΓΑΤ.ALU ΠΟΥΛΕΡΙΚΑ 100GR,0.37,3.70,7063120.jpg,1,Τροφή για γάτες,kg,,ab,11-12-2024,17-12-2024,,
50,5400601000822,365 ΓΑΤ.ALU ΨΑΡΙ 100GR,0.37,3.70,7063121.jpg,1,Τροφή για γάτες,kg,,ab,11-12-2024,17-12-2024,,
51,5203064042404,ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ Γ.Ο.Χ.1KG ΣΕΤ 2+1,3.00,1.00,7087564.jpg,0,Αλεύρι,kg,,ab,11-12-2024,17-12-2024,,
53,29825141,ΕΔΕΣΜΑ  ΠΑΡΙΖΑ  Χ.Γ,3.96,3.96,default_kalathi.png,0,Πάριζα,kg,,ab,11-12-2024,17-12-2024,,
53,5202336097951,ΑΒ ΠΑΡΙΖΑΚΙ 330ΓΡ,1.14,3.45,7079912.jpg,1,Πάριζα,kg,,ab,11-12-2024,17-12-2024,,
54,5202336110308,AB ΓΑΛΑ ΥΨ.ΘΕΡΜΙΚΗΣ ΕΠΕΞ. ΠΛΗΡΕΣ 1L,1.05,1.05,7344931.jpg,1,Γάλα υψηλής παστερίωσης πλήρες,kg,,ab,11-12-2024,17-12-2024,,
55,5202336110315,AB ΓΑΛΑ ΥΨ.ΘΕΡΜΙΚΗΣ ΕΠΕΞ. ΕΛΑΦΡΥ 1L,1.05,1.05,7344879.jpg,1,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,ab,11-12-2024,17-12-2024,,
