CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,
51,5201263083631,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ EXTR.LARGE N4 10T,7.39,0.74,7113562.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,5201263086601,SANI PANTS SMALL NO1 14T,6.45,0.46,7128027.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,5201263086618,SANI PANTS MEDIUM NO2 14T,7.51,0.54,7128016.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,5201263086625,SANI PANTS LARGE NO3 14T,8.95,0.64,7127978.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,7322540593143,TENA LADY MAXI INSTA-DRY 12T,4.49,0.37,7133541.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,7322541096667,TENA LADY MAXI NIGHT 12ΤΕΜ.,4.59,0.38,7117368.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,7322541132136,TENA LADY EXTRA 20T,4.89,0.24,7226107.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
53,5201263078439,BABYCARE ΜΩΡ/ΛΑ SENSIT.PLUS 3X54Τ,2.20,0.01,7742963.jpg,0,Πάριζα,kg,,ab,07-05-2025,13-05-2025,
54,5201410220056,SEPTONA ΣΑΜΠ&ΑΦΡ/ΤΡΟ ΑΛΟΗ 500ML,2.67,5.34,7149350.jpg,0,Γάλα υψηλής παστερίωσης πλήρες,kg,,ab,07-05-2025,13-05-2025,
55,8590421066430,LOVEPET Υ.Τ. ΣΚ.ΒΟΔ.ΚΟΝΣ.415G,0.64,1.54,7664211.jpg,1,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,ab,07-05-2025,13-05-2025,
55,8590421066454,LOVEPET Υ.Τ. ΣΚ.ΠΟΥΛ.ΚΟΝΣ.415G,0.64,1.54,7664232.jpg,1,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,ab,07-05-2025,13-05-2025,
56,5949065035921,LOVEPET Υ.Τ. ΓΑΤΑΣ ΠΟΥΛ.ΦΑΚ.100G,0.50,5.00,7664203.jpg,1,Λευκό τυρί,kg,,ab,07-05-2025,13-05-2025,
