CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,name,null
21,5202336008865,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 2LTΦ/ΠΛΑΣΤ,19.78,9.89,7062287.jpg,1,Παρθένο Ελαιόλαδο,lt,,ab,25-12-2024,31-12-2024,,
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.75,1.75,7735645.jpg,1,Ηλιέλαιο,lt,,ab,25-12-2024,31-12-2024,,
23,5201310722292,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 800G+200G ΔΩΡΟ,2.86,2.86,7637352.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,25-12-2024,31-12-2024,,
23,5201310722315,ΥΦΑΝΤΗΣ ΦΑΣΟΛΙ ΣΤΡΟΓ. 800G+200G ΔΩΡΟ,2.58,2.58,7637367.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,25-12-2024,31-12-2024,,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.80,0.80,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ab,25-12-2024,31-12-2024,,
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.80,0.80,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ab,25-12-2024,31-12-2024,,
25,5201002000233,ΓIΩTHΣ ΦAPIN ΛAKTE 300GR,2.42,8.07,7134656.jpg,0,Κρέμες για βρέφη,kg,,ab,25-12-2024,31-12-2024,,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,25-12-2024,31-12-2024,,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,25-12-2024,31-12-2024,,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.05,10.94,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,25-12-2024,31-12-2024,,
28,5202336139255,PERLA GOLD ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,8.36,41.80,7668915.jpg,1,Στιγμιαίος Καφές,kg,,ab,25-12-2024,31-12-2024,,
28,5949065033859,PERLA ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,6.80,34.00,7668972.jpg,1,Στιγμιαίος Καφές,kg,,ab,25-12-2024,31-12-2024,,
29,8712500013269,GONDOLIERE ΚΑΦΕΣ ΦΙΛΤΡΟΥ 500Γ,5.35,10.70,7555374.jpg,1,Γαλλικός Καφές,kg,,ab,25-12-2024,31-12-2024,,
30,7640110709481,CANDEREL STEVIA POWEDR 500G,6.61,13.22,7550004.jpg,0,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,ab,25-12-2024,31-12-2024,,
32,5201502247619,AGRINO ΦΑΚΕΣ ΨΙΛΕΣ 500GR ΕΙΣ.,1.90,3.80,7085580.jpg,0,Φακές,kg,,ab,25-12-2024,31-12-2024,,
32,5202336137633,ΑΒ ΦΑΚΕΣ ΨΙΛΕΣ 500G ΕΙΣΑΓΩΓΗΣ,0.94,1.88,7142787.jpg,1,Φακές,kg,,ab,25-12-2024,31-12-2024,,
33,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.25,1.25,7091821.jpg,1,Χυμός Πορτοκάλι,lt,,ab,25-12-2024,31-12-2024,,
